id,date_account_created,date_first_booking,time_to_booking
4ft3gnwmtx,2010-09-28,2010-08-02,-57
bjjt8pjhuk,2011-12-05,2012-09-08,278
87mebub9p4,2010-09-14,2010-02-18,-208
osr2jwljor,2010-01-01,2010-01-02,1
lsw9q7uk0j,2010-01-02,2010-01-05,3
0d01nltbrs,2010-01-03,2010-01-13,10
a1vcnhxeij,2010-01-04,2010-07-29,206
6uh8zyj2gn,2010-01-04,2010-01-04,0
yuuqmid2rp,2010-01-04,2010-01-06,2
k6np330cm1,2010-01-05,2010-01-18,13
v4d5rl22px,2010-01-07,2010-01-08,1
frhre329au,2010-01-07,2010-01-09,2
gdka1q5ktd,2010-01-10,2010-01-10,0
qdubonn3uk,2010-01-10,2010-01-18,8
qsibmuz9sx,2010-01-10,2010-01-11,1
80f7dwscrn,2010-01-11,2010-01-11,0
al8bcetz0g,2010-01-12,2010-01-15,3
hfrl5gle36,2010-01-12,2010-01-22,10
tp6x3md0n4,2010-01-13,2010-01-13,0
hql77nu2lk,2010-01-13,2010-01-19,6
cheova4spt,2010-01-14,2010-01-24,10
7my0vrljxc,2010-01-15,2010-01-15,0
k15j7mbny0,2010-01-19,2010-01-21,2
g3z67e37mb,2010-12-01,2010-12-03,2
g1q6caq452,2010-01-23,2010-01-27,4
f6mzhb4wbc,2010-01-24,2010-02-25,32
ngai8kt2yi,2010-01-24,2010-01-24,0
byozd991xf,2010-01-24,2010-01-25,1
rcx09dn2je,2010-01-25,2010-01-26,1
ae59m0iqsx,2010-01-25,2010-01-26,1
efabqzuxmf,2010-01-26,2010-01-27,1
emg8edpcpm,2010-01-26,2010-07-30,185
ehcdcpkn8y,2010-01-27,2010-01-28,1
fp6ndcm5ak,2010-01-27,2010-01-27,0
ranh94tmin,2010-01-29,2010-01-29,0
0xvbruzuzz,2010-01-30,2010-01-31,1
mz47bohqc8,2010-02-01,2010-02-02,1
b9gu8uoxxw,2010-02-02,2010-02-02,0
h53mz152m4,2010-02-02,2010-02-09,7
b9pzliufcj,2010-02-03,2010-02-04,1
h2gn4f9oqa,2010-02-03,2010-08-12,190
jf5oxeb233,2010-02-04,2010-03-20,44
jzw5p68a5u,2010-02-06,2010-02-06,0
rxdkzkowt2,2010-02-06,2010-02-10,4
prqnudhgdx,2010-02-07,2010-02-07,0
6qx6xl5eho,2010-02-07,2010-06-01,114
563m2oiat7,2010-02-08,2010-02-11,3
wqj8o7gv3y,2010-02-08,2010-02-26,18
1o91tbwhmt,2010-02-09,2010-02-20,11
oc138x4t2c,2010-02-09,2010-02-10,1
u5otukcj1c,2010-02-10,2010-03-19,37
1qglty8tmd,2010-02-10,2010-08-25,196
so9lxma3fv,2010-02-10,2010-02-12,2
6u9s9pbr5r,2010-02-10,2010-02-13,3
4ktx9s53w5,2010-02-10,2010-07-16,156
ieu21joskb,2010-02-11,2010-02-13,2
qj9ttjt9ch,2010-02-12,2010-02-21,9
uzlk5vzgh4,2010-02-13,2010-02-13,0
dgatsm5ocq,2010-02-13,2010-03-22,37
2c543qkuic,2010-02-15,2010-02-15,0
sdzl0mr9us,2010-02-15,2010-02-16,1
m1p6kkn8l1,2010-02-15,2010-12-12,300
z1smu76iek,2010-02-16,2010-02-16,0
mdhde4y8ak,2010-02-16,2010-02-16,0
vlmrt8nr8q,2010-02-16,2010-02-21,5
0sjhzy6z9q,2010-02-17,2010-02-17,0
swrvyedlsp,2010-05-30,2010-03-17,-74
tt4tf7arx9,2010-02-18,2010-02-18,0
kbix4dw5bg,2010-02-19,2010-02-21,2
y7yglrqj4g,2010-02-20,2010-02-28,8
ofwq9iunbv,2010-02-20,2011-02-11,356
kzbgs46ka1,2010-02-21,2010-06-28,127
jqyog5updf,2010-02-21,2010-02-22,1
woz3bp8egc,2010-02-22,2010-02-22,0
2bvnlou71p,2010-02-22,2010-03-04,10
p2j15lz8ge,2010-02-22,2010-02-23,1
vol34s7upr,2010-02-23,2010-02-25,2
xx5xwvpmyj,2010-02-24,2010-02-24,0
mc6ihnidpc,2010-02-24,2010-02-25,1
qmg77g7lge,2010-02-24,2010-03-08,12
y2wks1ljcu,2010-02-24,2010-02-24,0
mcdh2s9owp,2010-02-24,2010-02-24,0
ese54wmkcb,2010-02-24,2010-03-27,31
nf307k7ewi,2010-02-24,2010-02-28,4
jad3mbqepi,2010-02-25,2010-02-26,1
hl3t7qzrdu,2010-02-25,2010-02-26,1
fyh4atoj1y,2010-02-26,2010-02-27,1
o9sog26g9x,2010-02-26,2010-03-12,14
dstzfld8qk,2010-02-27,2010-02-28,1
jcnhbybq4h,2010-02-27,2010-03-01,2
c0unmqaa5y,2010-02-27,2010-03-01,2
7a8k3t3zd7,2010-02-28,2010-03-02,2
5ml3i1o90h,2010-03-01,2010-03-03,2
1a9khjwzuh,2010-03-01,2010-03-02,1
f5accvka0y,2010-03-01,2010-03-03,2
yyikx9ztzu,2010-03-02,2010-03-02,0
to2hnhh1bc,2010-03-02,2010-03-05,3
