action_detail,user_id,action,count_action_type,device_type,secs_elapsed,Category,,categ_dist,sum_categ
view_search_results,1771026,1776885,1776885,1776885,1776788,Searching,,searching,2645134
p3,1371626,1376550,1376550,1376550,1376508,Payment,,payment,1519495
-unknown-,1028222,1031141,1031141,1031141,1019466,Miscellaneous,,miscellaneous,1033607
wishlist_content_update,704782,706824,706824,706824,706787,Wishlist,,wishlist,874227
user_profile,654626,656839,656839,656839,656817,Admin,,admin,1883971
change_trip_characteristics,486414,487744,487744,487744,487740,Booking,,booking,597410
similar_listings,363423,364624,364624,364624,364621,Searching,,research,122964
user_social_connections,335577,336799,336799,336799,336789,Admin,,registration,142552
listing_reviews,267991,269021,269021,269021,269019,Searching,,cancellation,23796
update_listing,267776,269779,269779,269779,269763,Listing,,listing,489192
dashboard,152515,152952,152952,152952,152817,Admin,,login,59700
user_wishlists,152260,152672,152672,152672,152661,Wishlist,,,
header_userpic,141315,141830,141830,141830,141342,Admin,,,
message_thread,132199,132395,132395,132395,132388,Admin,,,
edit_profile,108531,108686,108686,108686,108678,Admin,,,
message_post,86925,7477,87103,87103,71650,Admin,,,
contact_host,80872,81041,81041,81041,80834,Research,,,
unavailable_dates,77475,77795,77795,77795,77791,Searching,,,
confirm_email_link,58253,58422,58422,58422,58302,Registration,,,
create_user,54611,54878,54878,54878,1522,Registration,,,
change_contact_host_dates,52426,52517,52517,52517,52515,Listing,,,
user_profile_content_update,50353,50434,50434,50434,50433,Admin,,,
user_reviews,49424,49665,49665,49665,49656,Searching,,,
p5,48155,48167,48167,48167,48167,Payment,,,
login,38302,38378,38378,38378,21583,Login,,,
your_trips,38139,38195,38195,38195,38192,Booking,,,
p1,37864,37976,37976,37976,37946,Payment,,,
notifications,37222,37355,37355,37355,37178,Searching,,,
profile_verifications,33374,33434,33434,33434,33428,Admin,,,
reservations,32324,32481,32481,32481,32479,Booking,,,
user_listings,31863,31971,31971,31971,31969,Listing,,,
your_listings,30793,30980,30980,30980,30978,Listing,,,
listing_recommendations,30125,30215,30215,30215,30215,Listing,,,
update_user,28923,29008,29008,29008,29005,Admin,,,
create_phone_numbers,28279,28336,28336,28336,28334,Admin,,,
p4,27989,28030,28030,28030,26918,Payment,,,
update_listing_description,26736,26980,26980,26980,26980,Listing,,,
update_user_profile,26651,26689,26689,26689,26687,Admin,,,
manage_listing,26267,26618,26618,26618,26607,Listing,,,
payment_instruments,23371,23483,23483,23483,23480,Admin,,,
account_notification_settings,21742,21802,21802,21802,21801,Admin,,,
message_to_host_focus,21629,21636,21636,21636,21629,Research,,,
signup,21357,21494,21494,21494,371,Registration,,,
cancellation_policies,19220,19262,19262,19262,19256,Cancellation,,,
oauth_response,19053,19132,19132,19132,10103,Searching,,,
message_inbox,18657,18718,18718,18718,18718,Admin,,,
view_listing,18377,18474,18474,18474,18470,Searching,,,
message_to_host_change,14219,14224,14224,14224,14224,Research,,,
list_your_space,13942,14098,14098,14098,14089,Listing,,,
pending,13596,13603,13603,13603,13521,Booking,,,
wishlist,12285,12308,12308,12308,12308,Wishlist,,,
profile_references,11385,11395,11395,11395,11395,Admin,,,
apply_coupon,10911,10915,10915,10915,10914,Payment,,,
oauth_login,10086,10111,10111,10111,10110,Login,,,
view_reservations,9431,9460,9460,9460,9458,Searching,,,
login_page,9339,9362,9362,9362,7101,Login,,,
post_checkout_action,8865,8867,8867,8867,8867,Booking,,,
send_message,8523,8528,8528,8528,8528,Searching,,,
trip_availability,8495,8550,8550,8550,8549,Searching,,,
signup_login_page,8384,8408,8408,8408,8392,Registration,,,
book_it,8041,8085,8085,8085,7875,Booking,,,
request_new_confirm_email,7932,7933,7933,7933,7932,Admin,,,
create_listing,7822,7958,7958,7958,7938,Listing,,,
view_locations,7819,7854,7854,7854,7848,Searching,,,
coupon_field_focus,7604,7608,7608,7608,7606,Payment,,,
apply_coupon_click,6219,6223,6223,6223,6222,Payment,,,
listing_descriptions,5670,5735,5735,5735,5734,Listing,,,
apply_coupon_error,5563,5566,5566,5566,5566,Payment,,,
at_checkpoint,5166,5170,5170,5170,5128,Miscellaneous,,,
account_payout_preferences,4541,4569,4569,4569,4568,Admin,,,
read_policy_click,3900,3905,3905,3905,3904,Research,,,
listing_reviews_page,3859,3869,3869,3869,3869,Searching,,,
cancellation_policy_click,3455,3461,3461,3461,3460,Cancellation,,,
instant_book,3033,3061,3061,3061,3030,Booking,,,
coupon_code_click,2944,2947,2947,2947,2946,Payment,,,
photos,2889,2904,2904,2904,2904,Searching,,,
request_to_book,2829,2833,2833,2833,2807,Booking,,,
user_tax_forms,2617,2633,2633,2633,2633,Admin,,,
popular_wishlists,2151,2160,2160,2160,2160,Wishlist,,,
host_home,2098,2103,2103,2103,2103,Research,,,
phone_verification_success,2030,2032,2032,2032,2032,Admin,,,
account_transaction_history,2029,2033,2033,2033,2033,Admin,,,
login_modal,1973,1977,1977,1977,1977,Login,,,
account_privacy_settings,1939,1943,1943,1943,1943,Admin,,,
terms_and_privacy,1939,1944,1944,1944,1944,Searching,,,
guest_itinerary,1870,1870,1870,1870,1870,Booking,,,
signup_modal,1830,1831,1831,1831,1830,Registration,,,
lookup_message_thread,1793,1793,1793,1793,1793,Searching,,,
user_languages,1469,1475,1475,1475,1475,Admin,,,
profile_reviews,1292,1292,1292,1292,1292,Searching,,,
your_reservations,1283,1283,1283,1283,1283,Booking,,,
delete_phone_numbers,1239,1241,1241,1241,1241,Admin,,,
change_or_alter,1116,1116,1116,1116,1116,Listing,,,
account_payment_methods,1003,1005,1005,1005,1005,Admin,,,
wishlist_note,960,961,961,961,961,Wishlist,,,
translate_listing_reviews,949,951,951,951,951,Searching,,,
click_reviews,924,925,925,925,925,Searching,,,
admin_templates,835,835,835,835,835,Admin,,,
set_password_page,814,816,816,816,815,Admin,,,
friends_wishlists,804,804,804,804,804,Wishlist,,,
click_about_host,768,773,773,773,773,Listing,,,
forgot_password,755,760,760,760,760,Admin,,,
set_password,754,756,756,756,668,Admin,,,
modify_users,687,688,688,688,688,Admin,,,
previous_trips,672,675,675,675,675,Searching,,,
guest_cancellation,581,583,583,583,583,Cancellation,,,
guest_receipt,459,459,459,459,459,Booking,,,
move_map,456,460,460,460,460,Admin,,,
modify_reservations,451,451,451,451,451,Booking,,,
click_amenities,424,426,426,426,426,Searching,,,
email_wishlist_button,388,388,388,388,388,Wishlist,,,
toggle_archived_thread,380,380,380,380,380,Searching,,,
user_friend_recommendations,370,375,375,375,375,Searching,,,
p4_refund_policy_terms,368,370,370,370,370,Cancellation,,,
apply_coupon_click_success,328,329,329,329,329,Payment,,,
email_wishlist,319,319,319,319,319,Wishlist,,,
translations,318,320,320,320,320,Searching,,,
confirm_email,302,302,302,302,302,Registration,,,
p4_terms,292,292,292,292,291,Payment,,,
airbnb_picks_wishlists,278,278,278,278,278,Wishlist,,,
host_guarantee,246,248,248,248,248,Research,,,
toggle_starred_thread,206,206,206,206,206,Searching,,,
alteration_field,175,175,175,175,175,Miscellaneous,,,
change_password,172,172,172,172,172,Admin,,,
cancellation_policy,161,162,162,162,162,Cancellation,,,
share,160,160,160,160,160,Searching,,,
view_security_checks,134,135,135,135,135,Searching,,,
remove_dashboard_alert,114,114,114,114,114,Admin,,,
delete_listing,110,112,112,112,112,Listing,,,
place_worth,106,108,108,108,108,Listing,,,
create_payment_instrument,86,86,86,86,86,Admin,,,
complete_booking,75,75,75,75,75,Booking,,,
